Es muss mindestens ein Status ausgewählt werden.;At least one status must be selected.;
Leistungsaufmassnr. suchen;Search for service measurement no.;
Übernehmen;Transfer;
Alle Materialanforderungen für den Druck aktivieren;Activate all material requisitions for printing;
Buchungskreis;Company code;
EKOrg;POrg;
Dialog schließen;Close dialog;
Meldungsbereich immer expandiert anzeigen;Always display expanded message area;
Es wurde keine Leistungsaufmaßnr. übergeben. Deshalb werden keine Detaildaten angezeigt.;No service measurement number was transferred. Therefore no detailed data is displayed.;
Basis ME;Basis Unit;
Leistung;ENLeistu1;
Leistungswert;ENLeistungswe1;
Suche Starten;Start search;
zurückgezogen;Withdrawn;
Es ist ein unerklärbares Problem aufgetreten. Die Operation {0} wurde im Backend erfolgreich ausgeführt. Es wurde jedoch kein Objekt zurückgeliefert. \r\nBitte verständigen Sie den Anwendungssupport.;An undefined problem has occurred. The operation {0} has been successfully carried out in the backend. However, no object has been returned. \r\nPlease notify application support.;
Lagerortnr.;Stock location number;
Lagerortnummer;Stock location number;
Freigabe;Release;
Neu;New;
Bestellübersicht;Order overview;
Es sind Zeilen mit 0,00 {0} vorhanden. Wollen Sie freigeben?;Lines with 0.00 {0} existing. Do you want to release?;
Ausschreibung Drucken;Print bid invitation;
Entnahmemenge;Issue quantity;
Konsignationslieferant;Consignment vendor;
Rückbuch.;Post to a prior period;
Art-Icon;Product icon;
Auswahl übernehmen;Transfer selection;
Name einer Einkäuferorganisation;Purchasing organization name;
Andere Bestellung suchen;Search for another order;
Version 1.0;Version 0.8;
Telefax 1;Fax 1;
Materialrücklieferung Drucken;Print material return delivery;
Das "von" Datum muss kleiner oder gleich dem "bis" Datum sein.;"The ""from"" date must be less than or equal to the ""to"" date.";
Name (Kurztext) des Service Providers;Name (short text) of the service provider;
Version 2.0;Version 0.8;
Bestand ReVU - Material anzeigen;RU inventory - display material;
Telefonnummer;Telephone number;
Schließen;Close;
-;-;
Teilaufmaß;Partial measurement;
bis;to;
Anford.;Request;
Legt die Anzahl neu anzulegender Positionen fest;Sets the number of new items to be created;
Chargenpflicht von Materialien;Batch management requirement of materials;
Definiert den Ort der Leistungserbringung;Defines the service performance location;
Zurück;Back;
A
Der Dialog muss aus technischen Gründen angezeigt werden;The dialog had to be displayed for technical reasons.;
Kontierungsauswahl im LA
Struktur für den PDF-Report Materialanforderung auf DLLO;Structure for the material requisition PDF report on the service provider stock location;
create or last changedate
Offene Lieferungen anzeigen;Display open deliveries;
Bestandsübersicht;Stock overview;
