Es muss mindestens ein Status ausgewählt werden.;Veuillez sélectionner au moins un statut.
Leistungsaufmassnr. suchen;Rechercher le n° de fourniture de service
Übernehmen;Accepter 
Alle Materialanforderungen für den Druck aktivieren;Activer toutes les demandes d'articles en vue de leur impression
Buchungskreis;Code de société
Dialog schließen;Fermer la boîte de dialogue
Meldungsbereich immer expandiert anzeigen;Toujours afficher la zone de message étendue
Es wurde keine Leistungsaufmaßnr. übergeben. Deshalb werden keine Detaildaten angezeigt.;Aucun n° de fourniture de service n'a été indiqué, si bien qu'aucune donnée détaillée n'est affichée.
Basis ME;Unité de base
Leistung;Activité
Suche Starten;Lancer une recherche
zurückgezogen;retiré
Es ist ein unerklärbares Problem aufgetreten. Die Operation {0} wurde im Backend erfolgreich ausgeführt. Es wurde jedoch kein Objekt zurückgeliefert. \r\nBitte verständigen Sie den Anwendungssupport.;Un problème inattendu s'est produit. L'opération {0} a été effectuée avec succès dans Backend. Aucun objet n'a cependant été renvoyé. \r\nVeuillez vous reporter au manuel d'utilisation.
Lagerortnr.;N° de dépôt
Lagerortnummer;Numéro de dépôt
Freigabe;Validation
Neu;Nouveau
Bestellübersicht;Aperçu de commande
Es sind Zeilen mit 0,00 {0} vorhanden. Wollen Sie freigeben?;Il existe des lignes avec 0,00 {0}. Souhaitez-vous valider ?
Ausschreibung Drucken;Imprimer la soumission
Entnahmemenge;Quantité reçue
Konsignationslieferant;Fournisseur en consigne
Rückbuch.;Reprise
Art-Icon;Icône article
Auswahl übernehmen;Accepter la sélection
Name einer Einkäuferorganisation;Nom d'une organisation d'achat
Andere Bestellung suchen;Rechercher une autre commande
Version 1.0;Version 1.0
Telefax 1;Télécopie 1
Materialrücklieferung Drucken;Imprimer un renvoi d'article
"Das ""von"" Datum muss kleiner oder gleich dem ""bis"" Datum sein.";"La date ""du"" doit être antérieure ou égale à la date ""au""."
Name (Kurztext) des Service Providers;Nom (abrégé) du fournisseur de services
Bestand ReVU - Material anzeigen;Affichage du stock d'articles EAR
Telefonnummer;Numéro de téléphone
Schließen;Fermer
-;-
Teilaufmaß;fourniture partielle
bis;à
Anford.;Cond.
Legt die Anzahl neu anzulegender Positionen fest;Détermine le nombre de postes nouvellement créés
Chargenpflicht von Materialien;Charge d'articles
Definiert den Ort der Leistungserbringung;Définit l'emplacement où se déroule l'activité
Zurück;Retour
A;A
Der Dialog muss aus technischen Gründen angezeigt werden;Le dialogue doit être affiché pour des raisons techniques
Struktur für den PDF-Report Materialanforderung auf DLLO;Structure des conditions matérielles du rapport PDF à l'emplacement du dépôt du fournisseur de services
Offene Lieferungen anzeigen;Affichage des livraisons en attente
Bestandsübersicht;Aperçu du stock
Ausschreibungsplattform;Plate-forme de soumission
Typ;Type
neu;nouveau
Auswahl Dienstleisterlagerort für Materialabrechnung;Sélection d'un dépôt de fournisseur de services pour la comptabilité articles
Kenz. Enderfassung;Indiq. version finale
Langtext des Leistungsaufmasses;Texte complet de la mesure d'activité
Materialabrechnung Drucken;Imprimer la comptabilité article
Abw. Wert zu LA;Valeur diff. de la fourniture de services
Technische Druckansicht;Visualisation technique
Zeile;Ligne
Verfallsdatum Charge;Date d'échéance charge
akt. Anz. / max. Anz. Abrechnungen;qté act. / qté max. règlements
Sichern;Garantir
Mat.-Aufmaßnnr.;N° de fourniture art.
Menge am zentralen Lagerort;Quantité au dépôt central
Materialaufmaße zur Bestellung;Fourniture d'article pour commande
Menge;Quantité
Lösche Position;Supprimer un poste
ext. Nummer;Numéro ext.
DL-LO;Emplacement du dépôt du fournisseur de services
Werk;Usine
Der von Ihnen eingegebene Text kann nicht in ein Datum umgewandelt werden. Bitte überprüfen Sie die Eingabe.;Le texte fourni ne peut pas être converti en date. Veuillez vérifier la saisie.
"Status ""offen""";"Statut ""en attente"""
Keine Nullzeilen;Aucune ligne nulle
Ausschreibung absagen;Refuser la soumission
